red, green, blue, target
248.982719,220.207046,46.948488,yellow
241.034137,29.449722,44.947310,red
222.349817,192.925824,170.188187,white
240.360978,121.535088,30.021797,orange
141.283612,193.320736,99.181940,green
175.715433,69.346789,61.648082,red
226.574866,211.554431,32.899733,yellow
228.043968,208.147529,182.048692,white
37.932551,123.902126,167.912390,blue
225.302222,203.781587,180.204127,white
227.920312,205.108750,182.216875,white
212.075979,100.843366,27.806838,orange
126.563043,189.738544,85.662474,green
142.743269,202.958333,81.262179,green
54.043667,113.076000,145.351333,blue
210.043716,183.386157,155.643291,white
248.923194,205.323922,55.872495,yellow
170.422569,25.087500,32.912500,red
121.841242,183.065632,80.762749,green
244.710464,118.973545,36.818048,orange
